raw_code,link_count,registry_classification,routing_classification,canonical_code,is_core_alias,canonical_name,parent_code,root_code,wiktionary_section,parent_chain_json,components_json,source_language_counts_json,example_1_source_lang,example_1_source_word,example_1_source_pos,example_1_source_id,example_1_target_word,example_1_target_label,example_1_anchor,example_2_source_lang,example_2_source_word,example_2_source_pos,example_2_source_id,example_2_target_word,example_2_target_label,example_2_anchor,example_3_source_lang,example_3_source_word,example_3_source_pos,example_3_source_id,example_3_target_word,example_3_target_label,example_3_anchor
yrl,29,full_language,,yrl,false,Nheengatu,,,,[],[],"{""en"": 7, ""it"": 1, ""pt"": 21}",it,muirapuama,noun,618540,mirá,,,en,arowana,noun,562982,arawanã,,,en,candiru,noun,598493,kandirú,,
bug,28,full_language,,bug,false,Buginese,,,,[],[],"{""en"": 11, ""id"": 17}",en,two,num,1098,ᨉᨘᨓ,,,en,Merdeka,noun,418415,ᨆᨑᨉᨙᨀ,,,en,Bugis,noun,479247,ᨓᨘᨁᨗ,,
pox,28,full_language,,pox,false,Polabian,,,,[],[],"{""de"": 10, ""en"": 7, ""pl"": 1, ""ru"": 7, ""uk"": 3}",de,Berlin,name,675,poro,,,de,Lübeck,name,14694,Liubice,,,de,Lauenburg,name,41335,Lave,,
xh,28,full_language,,xh,false,Xhosa,,,,[],[],"{""en"": 27, ""nl"": 1}",en,mama,noun,100203,umama,,,en,mali,noun,225706,imali,,,en,Mandela,name,248266,Mandela,,
za,28,full_language,,za,false,Zhuang,,,,[],[],"{""en"": 1, ""vi"": 27}",en,Sawndip,name,959658,Sawndip,,,vi,đi,verb,207,bae,,,vi,hôm,noun,3829,haemh,,
ale,27,full_language,,ale,false,Aleut,,,,[],[],"{""cs"": 1, ""de"": 2, ""el"": 1, ""en"": 14, ""eo"": 1, ""es"": 1, ""fi"": 1, ""fr"": 1, ""pl"": 1, ""pt"": 1, ""ru"": 2, ""sv"": 1}",fr,Alaska,name,34300,alaxsxaq,,,el,Αλάσκα,name,10888,alaxsxaq,,,de,Alaska,name,30305,alaxsxaq,,
kne,27,full_language,,kne,false,Kankanaey,,,,[],[],"{""en"": 26, ""es"": 1}",es,Payquec,name,807991,pekek,,,en,Data,name,8504,Data,,,en,Cuba,name,117804,Cuba,,
zza,27,full_language,,zza,false,Zazaki,,,,[],[],"{""de"": 1, ""en"": 20, ""fi"": 1, ""fr"": 1, ""hu"": 1, ""tr"": 3}",fr,zazaki,noun,371289,Zazakî,,,de,Babo,noun,67296,babo,,,en,new,adj,796,newe,,
"be,ru",26,multiple_languages,,,false,,,,,[],"[{""input"": ""be"", ""classification"": ""full_language"", ""canonical"": ""be"", ""name"": ""Belarusian""}, {""input"": ""ru"", ""classification"": ""full_language"", ""canonical"": ""ru"", ""name"": ""Russian""}]","{""en"": 8, ""uk"": 18}",en,moon,name,43006,ме́сяц,,,en,egg,noun,68659,яйцо́,,,en,tongue,noun,80412,язык,,
enm-esc,26,etymology_only,external,enm-esc,false,Early Scots,enm,enm,Middle English,"[""enm-esc"", ""enm""]",[],"{""en"": 26}",en,Stewart,name,98660,stewart,,,en,reset,noun,170359,reset,,,en,bunker,noun,199636,bunker,,
hur,26,full_language,,hur,false,Halkomelem,,,,[],[],"{""en"": 25, ""fr"": 1}",fr,Nanaimo,name,99965,Snuneymuxw,,,en,sasquatch,noun,370935,sásq’ets,,,en,Nanaimo,name,397186,Snuneymuxw,,
iba,26,full_language,,iba,false,Iban,,,,[],[],"{""en"": 1, ""id"": 25}",en,langkau,noun,1195465,langkau,,,id,mereka,pron,74,sida,,,id,baik,adj,85,baik,,
lre,26,full_language,,lre,false,Laurentian,,,,[],[],"{""ca"": 1, ""da"": 1, ""de"": 1, ""el"": 1, ""en"": 6, ""eo"": 1, ""es"": 1, ""fi"": 1, ""fr"": 1, ""gl"": 1, ""la"": 1, ""nb"": 1, ""nl"": 1, ""pl"": 1, ""pt"": 1, ""ro"": 1, ""ru"": 1, ""sv"": 1, ""tr"": 1, ""uk"": 1, ""vi"": 1}",fr,Canada,name,2846,kanata,,,el,Καναδάς,name,10533,kanata,,,de,Kanada,name,10423,kanata,,
ruo,26,full_language,,ruo,false,Istro-Romanian,,,,[],[],"{""en"": 2, ""fr"": 7, ""hu"": 1, ""ro"": 16}",fr,être,verb,218,fi,,,fr,autre,adj,445,åt,,,fr,pouvoir,verb,1219,putę,,
bm,25,full_language,,bm,false,Bambara,,,,[],[],"{""de"": 1, ""en"": 10, ""eo"": 1, ""fi"": 3, ""fr"": 6, ""sv"": 4}",fr,go,noun,10645,go,,,fr,Bamako,name,36393,Bamakɔ,,,fr,Ségou,name,75368,Segu,,
gmq-gut,25,full_language,,gmq-gut,false,Gutnish,,,,[],[],"{""en"": 17, ""fi"": 2, ""nl"": 3, ""sv"": 3}",en,high,adj,2789,haugar,,,en,word,noun,10412,ård,,,en,star,noun,12628,stjännå,,
ny,25,full_language,,ny,false,Chichewa,,,,[],[],"{""en"": 12, ""eo"": 1, ""es"": 1, ""fi"": 1, ""id"": 3, ""nb"": 2, ""pl"": 1, ""pt"": 3, ""ru"": 1}",es,Lilongüe,name,170586,Lilongwe,,,en,Malawi,name,262105,lawi,malawi,,en,Lilongwe,name,455174,Lilongwe,,
sma,25,full_language,,sma,false,Southern Sami,,,,[],[],"{""en"": 2, ""eo"": 1, ""fi"": 16, ""hu"": 2, ""sv"": 4}",en,cottage,noun,140125,gåetie,,,sv,kåta,noun,18039,gåetie,,,sv,kofta,noun,27973,gåptoe,,
xbc,25,full_language,,xbc,false,Bactrian,,,,[],[],"{""en"": 19, ""es"": 2, ""fr"": 1, ""it"": 1, ""la"": 2}",fr,khédivat,noun,392294,χοαδηο,,,es,afgano,adj,57500,αβαγανο,,,it,sho,noun,83417,ϸ,,
apc,24,full_language,,apc,false,North Levantine Arabic,,,,[],[],"{""en"": 15, ""fr"": 1, ""pt"": 1, ""ro"": 1, ""tr"": 6}",fr,Gemayel,name,101077,جميل,,,en,Homs,name,344422,حمص,,,en,Hums,name,403272,حمص,,
ch,24,full_language,,ch,false,Chamorro,,,,[],[],"{""en"": 11, ""es"": 1, ""id"": 9, ""la"": 1, ""pl"": 1, ""ru"": 1}",es,Agaña,name,425356,Hagåtña,,,en,Guam,name,276518,Guåhan,,,en,Saipan,name,384660,Saipan,,
dyu,24,full_language,,dyu,false,Dyula,,,,[],[],"{""ca"": 1, ""cs"": 1, ""da"": 1, ""de"": 1, ""en"": 2, ""es"": 1, ""fi"": 1, ""fr"": 2, ""hu"": 1, ""id"": 4, ""it"": 1, ""nb"": 2, ""nl"": 1, ""pl"": 2, ""ro"": 1, ""sv"": 1, ""tr"": 1}",fr,Burkina Faso,name,34976,faso,,,fr,tô,noun,99197,too,,,de,Burkina Faso,name,67368,faso,,
kaa,24,full_language,,kaa,false,Karakalpak,,,,[],[],"{""en"": 4, ""fi"": 1, ""ro"": 1, ""ru"": 2, ""tr"": 16}",en,koulan,noun,706560,qulan,,,en,Karakalpak,name,734631,qaraqalpaq,,,en,Karakalpakstan,name,1237865,Qaraqalpaqstan,,
