code,name,immediate parent,entry language,entry language name,routing classification,containment chain
xme-kah,Kahaki,xme-taf,xme-taf,Tafreshi,external language,xme-kah > xme-taf
xme-kas,Kashani,xme-ker,xme-ker,Kermanic,external language,xme-kas > xme-ker
xme-kes,Kesehi,xme-ker,xme-ker,Kermanic,external language,xme-kes > xme-ker
xme-kom,Komjani,xme-ker,xme-ker,Kermanic,external language,xme-kom > xme-ker
xme-krm,Kermani,xme-ker,xme-ker,Kermanic,external language,xme-krm > xme-ker
xme-mah,Mahallati,xme-ker,xme-ker,Kermanic,external language,xme-mah > xme-ker
xme-mey,Meymehi,xme-ker,xme-ker,Kermanic,external language,xme-mey > xme-ker
xme-nar,Naraqi,xme-ker,xme-ker,Kermanic,external language,xme-nar > xme-ker
xme-nas,Nashalji,xme-ker,xme-ker,Kermanic,external language,xme-nas > xme-ker
xme-nus,Nushabadi,xme-ker,xme-ker,Kermanic,external language,xme-nus > xme-ker
xme-qal,Qalhari,xme-ker,xme-ker,Kermanic,external language,xme-qal > xme-ker
xme-qoh,Qohrudi,xme-ker,xme-ker,Kermanic,external language,xme-qoh > xme-ker
xme-sed,Sedehi,xme-ker,xme-ker,Kermanic,external language,xme-sed > xme-ker
xme-tar,Tari,xme-ker,xme-ker,Kermanic,external language,xme-tar > xme-ker
xme-trh,Tarehi,xme-ker,xme-ker,Kermanic,external language,xme-trh > xme-ker
xme-ttc-cen,Central Tati,xme-ott,xme-ott,Old Tati,external language,xme-ttc-cen > xme-ott
xme-ttc-eas,Eastern Tati,xme-ott,xme-ott,Old Tati,external language,xme-ttc-eas > xme-ott
xme-ttc-nor,Northern Tati,xme-ott,xme-ott,Old Tati,external language,xme-ttc-nor > xme-ott
xme-ttc-sou,Southern Tati,xme-ott,xme-ott,Old Tati,external language,xme-ttc-sou > xme-ott
xme-ttc-wes,Western Tati,xme-ott,xme-ott,Old Tati,external language,xme-ttc-wes > xme-ott
xme-val,Valujerdi,xme-ker,xme-ker,Kermanic,external language,xme-val > xme-ker
xme-var,Varani,xme-ker,xme-ker,Kermanic,external language,xme-var > xme-ker
xme-von,Vonishuni,xme-ker,xme-ker,Kermanic,external language,xme-von > xme-ker
xme-vrz,Varzenehi,xme-ker,xme-ker,Kermanic,external language,xme-vrz > xme-ker
xme-xur,Khuri,xme-ker,xme-ker,Kermanic,external language,xme-xur > xme-ker
xme-yar,Yarandi,xme-ker,xme-ker,Kermanic,external language,xme-yar > xme-ker
xme-yaz,Yazdi,xme-ker,xme-ker,Kermanic,external language,xme-yaz > xme-ker
xme-zef,Zefrehi,xme-ker,xme-ker,Kermanic,external language,xme-zef > xme-ker
xme-zor,Zori,xme-ker,xme-ker,Kermanic,external language,xme-zor > xme-ker
xmn,Manichaean Middle Persian,pal-lat,pal,Middle Persian,external language,xmn > pal-lat > pal
xng-ear,Early Middle Mongol,xng,xng,Middle Mongol,external language,xng-ear > xng
xng-lat,Late Middle Mongol,xng,xng,Middle Mongol,external language,xng-lat > xng
xnn,Northern Kankanaey,kne,kne,Kankanaey,external language,xnn > kne
xno,Anglo-Norman,fro-nor,fro,Old French,external language,xno > fro-nor > fro
xno-law,Law French,xno,fro,Old French,external language,xno-law > xno > fro-nor > fro
xtg,Transalpine Gaulish,cel-gau,cel-gau,Gaulish,external language,xtg > cel-gau
xvi,Kamviri,bsh,bsh,Kamkata-viri,external language,xvi > bsh
yue-HK,Hong Kong Cantonese,yue,yue,Cantonese,external language,yue-HK > yue
yue-gua,Guangzhou Cantonese,yue,yue,Cantonese,external language,yue-gua > yue
yue-lit,Literary Cantonese,yue,yue,Cantonese,external language,yue-lit > yue
yue-wvc,Written vernacular Cantonese,yue,yue,Cantonese,external language,yue-wvc > yue
zh-postal,Postal Romanization,zh,zh,Chinese,external language,zh-postal > zh
zhx-dan,Danzhou Chinese,zh,zh,Chinese,external language,zhx-dan > zh
zhx-tai-wvc,Written vernacular Taishanese,zhx-tai,zhx-tai,Taishanese,external language,zhx-tai-wvc > zhx-tai
zhx-zho,Zhongshan Min,zh,zh,Chinese,external language,zhx-zho > zh
zle-mbe,Middle Belarusian,zle-ort,zle-ort,Old Ruthenian,external language,zle-mbe > zle-ort
zle-mru,Middle Russian,ru,ru,Russian,available in Lexicoff,zle-mru > ru
zle-muk,Middle Ukrainian,zle-ort,zle-ort,Old Ruthenian,external language,zle-muk > zle-ort
zle-ops,Old Pskovian,zle-ono,zle-ono,Old Novgorodian,external language,zle-ops > zle-ono
zls-chs-ru,Russian Church Slavonic,zls-chs,zls-chs,Church Slavonic,external language,zls-chs-ru > zls-chs
zls-chs-uk,Ukrainian Church Slavonic,zls-chs,zls-chs,Church Slavonic,external language,zls-chs-uk > zls-chs
zlw-mpl,Middle Polish,pl,pl,Polish,available in Lexicoff,zlw-mpl > pl
zrp,Zarphatic,fro,fro,Old French,external language,zrp > fro
